origin,destination,month,avg_route_month_delay
ABE,ATL,1,-4.666666666666667
ABE,ATL,2,16.82857142857143
ABE,ATL,3,-2.1296296296296298
ABE,ATL,4,-8.566666666666666
ABE,ATL,5,14.357142857142858
ABE,ATL,6,7.125
ABE,ATL,7,-2.04
ABE,ATL,8,22.5
ABE,ATL,9,-5.157894736842105
ABE,ATL,10,9.884615384615385
ABE,ATL,11,16.318181818181817
ABE,ATL,12,8.375
ABE,BNA,1,-6.0
ABE,BNA,2,54.0
ABE,BNA,3,51.0
ABE,BNA,4,-0.3333333333333333
ABE,BNA,5,2.6666666666666665
ABE,BNA,6,40.666666666666664
ABE,BNA,7,19.5
ABE,BNA,8,-12.6
ABE,BNA,9,-9.333333333333334
ABE,BNA,10,32.333333333333336
ABE,BNA,11,33.0
ABE,BNA,12,2.0
ABE,CLT,1,-14.25925925925926
ABE,CLT,2,-10.725
ABE,CLT,3,-10.097560975609756
ABE,CLT,4,-11.340909090909092
ABE,CLT,5,-22.26829268292683
ABE,CLT,6,-7.934782608695652
ABE,CLT,7,-10.0
ABE,CLT,8,-5.733333333333333
ABE,CLT,9,-19.771428571428572
ABE,CLT,10,-14.6
ABE,CLT,11,-23.756756756756758
ABE,CLT,12,-26.26923076923077
ABE,DEN,8,-7.0
ABE,DTW,1,-14.533333333333333
ABE,DTW,2,3.6206896551724137
ABE,DTW,3,43.5
ABE,DTW,4,-5.172413793103448
ABE,DTW,5,-2.5
ABE,DTW,6,22.26086956521739
ABE,DTW,7,10.823529411764707
ABE,DTW,8,21.085714285714285
ABE,DTW,9,-13.058823529411764
ABE,DTW,10,-11.0
ABE,DTW,11,-9.571428571428571
ABE,DTW,12,0.0
ABE,FLL,1,-12.0
ABE,FLL,2,-4.0
ABE,FLL,3,7.2
ABE,FLL,4,-17.0
ABE,FLL,5,-15.0
ABE,FLL,6,13.333333333333334
ABE,FLL,7,25.0
ABE,FLL,8,13.0
ABE,FLL,9,-28.5
ABE,FLL,10,-7.0
ABE,FLL,11,21.0
ABE,FLL,12,2.25
ABE,MDW,5,-29.0
ABE,MDW,7,5.5
ABE,MYR,1,-12.0
ABE,MYR,2,-5.0
ABE,MYR,3,-12.0
ABE,MYR,4,-1.8333333333333333
ABE,MYR,5,-1.75
ABE,MYR,6,5.0
ABE,MYR,7,24.25
ABE,MYR,8,-9.25
ABE,MYR,9,92.0
ABE,MYR,10,-11.8
ABE,MYR,11,-11.5
ABE,ORD,1,-3.8333333333333335
ABE,ORD,2,-0.5714285714285714
ABE,ORD,3,6.578947368421052
ABE,ORD,4,-5.695652173913044
ABE,ORD,5,0.4
ABE,ORD,6,-4.333333333333333
ABE,ORD,7,5.473684210526316
ABE,ORD,8,-10.925925925925926
ABE,ORD,9,-7.166666666666667
ABE,ORD,10,0.2727272727272727
ABE,ORD,11,-6.8
ABE,ORD,12,-6.222222222222222
ABE,PGD,1,-5.0
ABE,PGD,2,22.857142857142858
ABE,PGD,3,0.8333333333333334
ABE,PGD,4,-1.0
ABE,PGD,5,-4.5
ABE,PGD,6,21.5
ABE,PGD,7,23.454545454545453
ABE,PGD,8,27.3
ABE,PGD,9,-10.5
ABE,PGD,10,-1.75
ABE,PGD,11,75.33333333333333
ABE,PGD,12,18.571428571428573
ABE,PIE,1,7.8
ABE,PIE,2,-16.2
ABE,PIE,3,42.333333333333336
ABE,PIE,4,-5.4
ABE,PIE,5,27.454545454545453
ABE,PIE,6,16.058823529411764
ABE,PIE,7,45.473684210526315
ABE,PIE,8,5.4
ABE,PIE,9,-0.875
ABE,PIE,10,3.6666666666666665
ABE,PIE,11,2.0
ABE,PIE,12,32.333333333333336
ABE,SAV,4,-6.0
ABE,SAV,6,3.0
ABE,SAV,7,-20.5
ABE,SAV,8,-22.0
ABE,SAV,9,-9.0
ABE,SAV,10,-13.0
ABE,SAV,11,-25.0
ABE,SFB,1,24.071428571428573
ABE,SFB,2,-0.1
ABE,SFB,3,1.68
ABE,SFB,4,2.1578947368421053
ABE,SFB,5,-6.0
ABE,SFB,6,11.3125
ABE,SFB,7,11.466666666666667
ABE,SFB,8,-4.125
ABE,SFB,9,24.615384615384617
ABE,SFB,10,-2.4444444444444446
ABE,SFB,11,42.72727272727273
ABE,SFB,12,98.0
ABE,SRQ,2,-3.3333333333333335
ABE,SRQ,3,11.0
ABE,SRQ,4,0.5
ABE,SRQ,5,-4.0
ABE,SRQ,6,27.0
ABE,SRQ,7,11.25
ABE,SRQ,8,-15.75
ABE,SRQ,9,-22.0
ABE,SRQ,10,-14.0
ABE,SRQ,11,-11.666666666666666
ABE,SRQ,12,3.5
ABI,DFW,1,5.925373134328358
ABI,DFW,2,13.031746031746032
ABI,DFW,3,9.435483870967742
ABI,DFW,4,1.1285714285714286
ABI,DFW,5,14.0
ABI,DFW,6,4.825
ABI,DFW,7,7.0777777777777775
ABI,DFW,8,8.08955223880597
ABI,DFW,9,-0.13636363636363635
ABI,DFW,10,5.6
ABI,DFW,11,2.9444444444444446
ABI,DFW,12,18.436363636363637
ABI,IAH,1,114.66666666666667
ABI,IAH,2,-32.142857142857146
ABI,IAH,3,-30.4
ABI,IAH,4,-28.0
ABI,IAH,5,5.285714285714286
ABI,IAH,6,-25.833333333333332
ABI,IAH,7,35.5
ABI,IAH,8,-10.142857142857142
ABI,IAH,9,3.1666666666666665
ABI,IAH,10,0.0
ABI,IAH,11,-24.0
ABI,IAH,12,-29.25
ABQ,ATL,1,-4.703703703703703
ABQ,ATL,2,-1.6551724137931034
ABQ,ATL,3,-3.392857142857143
ABQ,ATL,4,-4.482758620689655
ABQ,ATL,5,-4.818181818181818
ABQ,ATL,6,-3.3448275862068964
ABQ,ATL,7,-2.942857142857143
ABQ,ATL,8,14.292682926829269
ABQ,ATL,9,-7.321428571428571
ABQ,ATL,10,-3.92
ABQ,ATL,11,-5.0476190476190474
ABQ,ATL,12,1.2903225806451613
ABQ,AUS,1,-7.45
ABQ,AUS,2,4.25
ABQ,AUS,3,4.275862068965517
ABQ,AUS,4,0.3125
ABQ,AUS,5,21.055555555555557
ABQ,AUS,6,-3.0833333333333335
ABQ,AUS,7,-1.6923076923076923
ABQ,AUS,8,9.833333333333334
ABQ,AUS,9,1.0
ABQ,AUS,10,-1.125
ABQ,AUS,11,1.2941176470588236
ABQ,AUS,12,-1.8333333333333333
ABQ,BUR,1,-12.166666666666666
ABQ,BUR,2,22.5
ABQ,BUR,3,112.0
